Inventory ID,Description, Level-3 
PLY-SLO-700,76/80 Plymouth Volare Headlight Splash Shields 2pc, $ 19.60 
PLY-SLP-200,62 Plymouth 2 Door Sedan Sail Panel Boards Plain, $ 13.60 
PLY-SLP-205,63 Plymouth 2 Door Sedan Sail Panel Boards Plain, $ 13.60 
PLY-SLP-210,64/65 Plymouth Belvedere 2 Door Hardtop Sail Panel Boards Plain, $ 13.30 
PLY-SLP-215,64/65 Plymouth 2 Door Sedan Sail Panel Boards Plain, $ 13.60 
PLY-SLP-225,68 Satellite 2 Door Hardtop Sail Panels Perforated, $ 33.40 
PLY-SLP-240,69/70 Satellite 2 Door Hardtop Sail Panels Perforated, $ 33.40 
PLY-SLP-260,71/72 Satellite 2 Door Hardtop Sail Panels Perforated, $ 41.10 
PLY-STB-040,63/64 Valiant Spare Tire Board, $ 16.80 
PLY-STC-025,62/74 Loose Fit Spare Tire Cover Rubber Gray Plaid w/Panelboard Circle, $ 37.20 
PLY-STC-026,62/74 Loose Fit Spare Tire Cover Rubber Gray Herringbone w/Panelboard Circle, $ 37.20 
PLY-STC-027,62/74 Loose Fit Spare Tire Cover Rubber Gray Houndstooth w/Panelboard Circle, $ 37.20 
PLY-STC-028,62/74 Loose Fit Spare Tire Cover Rubber Tan Plaid w/Panelboard Circle, $ 37.20 
PLY-STC-029,62/74 Plymouth Loose Fit Spare Tire Cover Vinyl, $ 25.80 
PLY-STC-030,"62/74 Plymouth 14"" Spare Tire Cover Vinyl", $ 41.30 
PLY-STC-035,"62/74 Plymouth 15"" Spare Tire Cover Vinyl", $ 41.30 
PLY-SVR-180,56 Plymouth 4 Door Hardtop Sun Visors Cologne, $ 96.20 
PLY-SVR-250,60/62 Valiant Sun Visors Bison, $ 98.40 
PLY-SVR-255,62 Plymouth Sun Visors Non-Perforated, $ 88.20 
PLY-SVR-260,63/64 Belvedere Hardtop Sun Visors Bison, $ 96.20 
PLY-SVR-265,63/65 Valiant All except Convertible Sun Visors Non-Perforated, $ 88.90 
